Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0.0,0.26669999957084656,"network, variety, working, recommendations, building, experts, driven_adaptive, burnout, dynamical, diffusion","['building', 'international_consortium', 'tracking', 'coronavirus', 'status']"
1.0,0.774399995803833,"factors, cats, among, surfaces, shedding, impact, samples, contamination, risk, prevention","['epidemiologic', 'clinical', 'virologic', 'characteristics', 'human', 'rhinovirus', 'among', 'otherwise_healthy', 'children', 'adults', 'rhinovirus', 'among', 'adults', 'children']"
2.0,0.06669999659061432,"nanofiber_filter, blood, bioterrorism, removal, retention, medical_anthropology, feline, historical, aerosols, managing","['pilot', 'open', 'labelled', 'randomised_controlled', 'trial', 'hypertonic_saline', 'nasal', 'irrigation', 'gargling', 'common_cold']"
3.0,0.35580000281333923,"might, analyses, focus, blood, transfusion, bat_sl, donor, phylogenetic_analysis, cnts, recalls","['pathobiology', 'avian', 'avulavirus', 'special', 'focus', 'waterfowl']"
4.0,0.8912000060081482,"abstract, potential, host, different, sars_cov, rna, studies, novel, surface, review","['review', 'analyses', 'recent', 'structural', 'provide', 'clues', 'possible', 'molecular', 'mechanism', 'transmission', 'fusogenic', 'signal', 'among', 'envelope_glycoproteins', 'herpes_simplex', 'receptor_binding', 'glycoprotein', 'gd', 'signal', 'triggers', 'membrane_fusion', 'machinery', 'contained', 'glycoproteins', 'gb', 'gh', 'gl', 'induce', 'merging', 'cellular', 'membranes', 'allow', 'entry', 'target', 'cells', 'activating', 'process', 'parallels', 'γ', 'retroviruses', 'receptor_binding', 'amino_terminal', 'domain', 'envelope', 'protein', 'activates', 'fusogenic', 'potential', 'virion', 'similar', 'way', 'despite', 'different', 'organization', 'envelope', 'complexes', 'two', 'types', 'therefore', 'new', 'structural', 'interaction', 'gd', 'receptors', 'might', 'provide', 'insights', 'mechanism', 'fusogenic', 'signal', 'transmission', 'γ', 'retroviruses', 'furthermore', 'fusion', 'activation', 'parallels', 'retroviruses', 'together', 'recently', 'reported', 'structural', 'homology', 'gb', 'rhabdovirus', 'envelope_glycoprotein', 'indicate', 'complex', 'entry', 'apparatus', 'herpesviruses', 'appears', 'functionally', 'related', 'simpler', 'enveloped']"
5.0,0.766700029373169,"influenza, cases, well, spread, patterns, vaccination, surveillance, individuals, pandemic, animals","['spatiotemporal', 'patterns', 'diffusion', '1918', 'influenza', 'pandemic', 'british', 'india']"
6.0,0.8133000135421753,"coronavirus, mers_cov, effective, high, area, present, applications, various, 2019_ncov, mers","['middle_east_respiratory_syndrome', 'coronavirus', 'dromedary_camels', 'saudi_arabia']"
8.0,0.8963000178337097,"transmission, research, human, environmental, based, diseases, control, pathogens, infections, species","['vector', 'control', 'zika', 'affected', 'communities', 'local', 'views', 'community', 'engagement', 'public', 'ethics', 'outbreaks']"
10.0,0.8833000063896179,"sars, outbreak, data, patients, epidemic, using, distribution, respiratory, study, identified","['multinational', 'multicentre', 'study', 'psychological', 'outcomes', 'associated', 'physical', 'symptoms', 'amongst', 'healthcare_workers', 'covid_19', 'outbreak']"
12.0,0.949999988079071,"new, however, important, areas, within, systems, detection, several, analysis, detected","['ever_increasing', 'numbers', 'closely_related', 'genomes', 'sequenced', 'become', 'desirable', 'able', 'compare', 'two', 'genomes', 'level', 'detailed', 'gene', 'content', 'two', 'strains', 'organism', 'share', 'set', 'predicted', 'genes', 'still', 'differ', 'pathogenicity', 'profiles', 'example', 'detailed', 'comparison', 'multiple', 'isolates', 'smallpox', 'genome', 'approximately', '200', 'kb', '200', 'genes', 'feasible', 'without', 'new', 'bioinformatics_tools', 'software_package', 'base', 'base', 'developed', 'provides', 'visualization', 'tools', 'enable', 'researchers', 'rapidly', 'identify', 'correct', 'alignment', 'errors', 'large', 'multiple', 'genome', 'alignments', 'generate', 'tabular', 'graphical', 'output', 'differences', 'genomes', 'nucleotide', 'level', 'base', 'base', 'uses', 'detailed', 'annotation', 'information', 'aligned', 'genomes', 'list', 'predicted', 'gene', 'nucleotide', 'differences', 'display', 'whether', 'variations', 'occur', 'within', 'promoter', 'regions', 'coding', 'regions', 'whether', 'changes', 'result', 'amino_acid', 'substitutions', 'base', 'base', 'connect', 'mysql', 'database', 'orthologous', 'clusters', 'vocs', 'retrieve', 'detailed', 'annotation', 'information', 'aligned', 'genomes', 'information', 'text', 'files', 'base', 'base', 'enables', 'users', 'quickly', 'compare', 'large', 'genomes', 'highlights', 'small', 'differences', 'responsible', 'important', 'phenotypic', 'differences', 'virulence', 'available', 'via', 'internet', 'using', 'java', 'web', 'start', 'runs', 'macintosh', 'pc', 'linux', 'operating', 'systems', 'java', '14', 'virtual', 'machine']"
14.0,0.5339999794960022,"evidence, access, expressed, community_acquired_pneumonia, latest, e, updated, appropriate, betula, forensic","['electoral', 'incentives', 'combat', 'mosquito_borne', 'illnesses', 'experimental', 'evidence', 'brazil']"
